RegionID,SizeRank,RegionName,STATE,RegionType,StateName,3/31/2018,Monthly Pmt,Total 2018,3/31/2019,Monthly Pmt,Total 2019,3/31/2020,Monthly Pmt,Total 2020,3/31/2021,Monthly Pmt,Total 2021,3/31/2022,Monthly Pmt,Total 2022,3/31/2023,Monthly Pmt,Total 2023,,,
102001,0,United States,,country,,"440,204.67","2,240.93"," 806,733.71 ","459,276.89","2,176.80"," 783,648.42 ","476,365.10","2,034.16"," 732,296.55 ","531,131.96","2,227.83"," 802,019.51 ","626,291.93","3,493.40"," 1,257,624.55 ","634,322.96","4,105.78"," 1,478,079.80 ",,,
394913,1,New York, NY,msa,NY,"747,283.04","3,804.15"," 1,369,495.74 ","778,971.62","3,692.03"," 1,329,132.59 ","796,004.84","3,399.07"," 1,223,665.63 ","841,537.86","3,529.83"," 1,270,738.40 ","932,638.37","5,202.18"," 1,872,783.05 ","950,897.32","6,154.87"," 2,215,751.61 ",,2018,4.54%
753899,2,Los Angeles, CA,msa,CA,"1,062,301.62","5,407.80"," 1,946,809.26 ","1,118,258.91","5,300.13"," 1,908,046.87 ","1,151,957.06","4,919.05"," 1,770,856.40 ","1,260,133.19","5,285.63"," 1,902,825.43 ","1,514,660.14","8,448.64"," 3,041,510.97 ","1,475,178.49","9,548.38"," 3,437,415.42 ",,2019,3.94%
394463,3,Chicago, IL,msa,IL,"390,771.96","1,989.28"," 716,141.68 ","393,918.64","1,867.03"," 672,129.88 ","393,570.39","1,680.61"," 605,019.64 ","419,974.80","1,761.58"," 634,170.05 ","460,920.54","2,570.97"," 925,550.78 ","468,498.14","3,032.44"," 1,091,679.92 ",,2020,3.10%
394514,4,Dallas, TX,msa,TX,"406,873.84","2,071.25"," 745,650.52 ","415,221.58","1,968.00"," 708,478.36 ","426,360.73","1,820.63"," 655,426.88 ","469,882.71","1,970.92"," 709,531.96 ","578,202.97","3,225.17"," 1,161,059.59 ","593,395.11","3,840.86"," 1,382,710.98 ",,2021,2.96%
394692,5,Houston, TX,msa,TX,"352,900.71","1,796.49"," 646,737.57 ","361,996.23","1,715.73"," 617,661.77 ","371,257.02","1,585.33"," 570,718.21 ","402,063.48","1,686.45"," 607,123.61 ","471,220.28","2,628.43"," 946,233.16 ","490,111.95","3,172.34"," 1,142,043.75 ",,2022,5.34%
395209,6,Washington, DC,msa,VA,"674,949.69","3,435.93"," 1,236,935.24 ","694,785.69","3,293.03"," 1,185,489.02 ","720,957.70","3,078.61"," 1,108,298.74 ","789,335.23","3,310.87"," 1,191,911.43 ","869,701.85","4,851.12"," 1,746,403.47 ","868,034.67","5,618.52"," 2,022,667.61 ",,2023,6.73%
394974,7,Philadelphia, PA,msa,PA,"398,100.03","2,026.59"," 729,571.35 ","407,582.55","1,931.79"," 695,444.14 ","418,704.94","1,787.94"," 643,657.95 ","464,839.20","1,949.77"," 701,916.16 ","517,717.37","2,887.78"," 1,039,601.57 ","543,240.13","3,516.23"," 1,265,841.40 ",,,
394856,8,Miami, FL,msa,FL,"482,031.50","2,453.85"," 883,386.95 ","501,915.89","2,378.89"," 856,401.89 ","515,012.31","2,199.19"," 791,707.33 ","564,206.98","2,366.57"," 851,963.42 ","722,036.11","4,027.45"," 1,449,883.50 ","793,515.80","5,136.18"," 1,849,026.04 ",,,
394347,9,Atlanta, GA,msa,GA,"381,068.44","1,939.89"," 698,358.69 ","399,524.91","1,893.60"," 681,695.67 ","412,220.24","1,760.25"," 633,689.29 ","454,780.69","1,907.58"," 686,727.62 ","550,020.97","3,067.97"," 1,104,468.77 ","570,585.60","3,693.22"," 1,329,560.97 ",,,
394404,10,Boston, MA,msa,MA,"746,028.25","3,797.77"," 1,367,196.17 ","770,950.55","3,654.02"," 1,315,446.51 ","788,447.72","3,366.80"," 1,212,048.38 ","865,861.61","3,631.85"," 1,307,467.74 ","968,243.16","5,400.78"," 1,944,279.19 ","973,997.58","6,304.39"," 2,269,579.12 ",,,
394976,11,Phoenix, AZ,msa,AZ,"418,121.45","2,128.51"," 766,263.27 ","445,487.77","2,111.45"," 760,120.52 ","473,292.78","2,021.04"," 727,573.60 ","543,165.34","2,278.31"," 820,190.14 ","667,602.55","3,723.83"," 1,340,578.28 ","667,990.42","4,323.70"," 1,556,530.67 ",,,
395057,12,San Francisco, CA,msa,CA,"1,534,468.04","7,811.44"," 2,812,117.14 ","1,541,259.23","7,304.99"," 2,629,797.82 ","1,564,985.40","6,682.74"," 2,405,787.95 ","1,695,715.90","7,112.68"," 2,560,563.72 ","2,032,128.72","11,335.04"," 4,080,612.96 ","1,821,643.86","11,790.94"," 4,244,738.34 ",,,
395025,13,Riverside, CA,msa,CA,"530,268.66","2,699.41"," 971,787.97 ","547,084.89","2,592.98"," 933,472.21 ","561,396.49","2,397.26"," 863,011.83 ","630,972.02","2,646.61"," 952,779.92 ","761,163.42","4,245.70"," 1,528,453.04 ","753,569.23","4,877.62"," 1,755,943.78 ",,,
394532,14,Detroit, MI,msa,MI,"296,962.21","1,511.73"," 544,222.82 ","310,654.89","1,472.39"," 530,059.80 ","319,114.84","1,362.67"," 490,562.17 ","350,191.69","1,468.88"," 528,796.21 ","394,132.98","2,198.44"," 791,438.13 ","402,122.84","2,602.82"," 937,014.24 ",,,
395078,15,Seattle, WA,msa,WA,"845,359.01","4,303.43"," 1,549,233.02 ","853,494.99","4,045.25"," 1,456,289.26 ","870,804.59","3,718.48"," 1,338,652.22 ","982,910.36","4,122.82"," 1,484,213.61 ","1,228,485.95","6,852.39"," 2,466,859.33 ","1,150,342.48","7,445.81"," 2,680,492.57 ",,,
394865,16,Minneapolis, MN,msa,MN,"404,460.47","2,058.97"," 741,227.70 ","419,557.07","1,988.54"," 715,875.86 ","434,462.73","1,855.23"," 667,881.76 ","473,766.38","1,987.21"," 715,396.37 ","531,053.28","2,962.17"," 1,066,380.72 ","533,680.97","3,454.35"," 1,243,566.94 ",,,
395056,17,San Diego, CA,msa,CA,"915,540.29","4,660.69"," 1,677,849.57 ","930,452.94","4,410.00"," 1,587,599.98 ","959,421.16","4,096.89"," 1,474,878.85 ","1,092,057.38","4,580.63"," 1,649,027.71 ","1,394,025.53","7,775.75"," 2,799,270.83 ","1,366,511.01","8,845.01"," 3,184,201.81 ",,,
