RegionID,SizeRank,RegionName,STATE,RegionType,StateName,3/31/2018,3/31/2019,3/31/2020,3/31/2021,3/31/2022,3/31/2023
102001,0,United States,,country,,440205,459277,476365,531132,626292,634323
394913,1,New York, NY,msa,NY,747283,778972,796005,841538,932638,950897
753899,2,Los Angeles, CA,msa,CA,1062302,1118259,1151957,1260133,1514660,1475178
394463,3,Chicago, IL,msa,IL,390772,393919,393570,419975,460921,468498
394514,4,Dallas, TX,msa,TX,406874,415222,426361,469883,578203,593395
394692,5,Houston, TX,msa,TX,352901,361996,371257,402063,471220,490112
395209,6,Washington, DC,msa,VA,674950,694786,720958,789335,869702,868035
394974,7,Philadelphia, PA,msa,PA,398100,407583,418705,464839,517717,543240
394856,8,Miami, FL,msa,FL,482032,501916,515012,564207,722036,793516
394347,9,Atlanta, GA,msa,GA,381068,399525,412220,454781,550021,570586
394404,10,Boston, MA,msa,MA,746028,770951,788448,865862,968243,973998
394976,11,Phoenix, AZ,msa,AZ,418121,445488,473293,543165,667603,667990
395057,12,San Francisco, CA,msa,CA,1534468,1541259,1564985,1695716,2032129,1821644
395025,13,Riverside, CA,msa,CA,530269,547085,561396,630972,761163,753569
394532,14,Detroit, MI,msa,MI,296962,310655,319115,350192,394133,402123
395078,15,Seattle, WA,msa,WA,845359,853495,870805,982910,1228486,1150342
394865,16,Minneapolis, MN,msa,MN,404460,419557,434463,473766,531053,533681
395056,17,San Diego, CA,msa,CA,915540,930453,959421,1092057,1394026,1366511
395148,18,Tampa, FL,msa,FL,340210,357421,374844,421949,537741,567920
394530,19,Denver, CO,msa,CO,610810,644156,672316,741735,858804,838715
394358,20,Baltimore, MD,msa,MD,456287,465026,475207,519521,572496,587204
395121,21,St. Louis, MO,msa,MO,291084,299375,309763,341414,380201,392579
394943,22,Orlando, FL,msa,FL,352076,371850,387394,423480,522862,553129
394458,23,Charlotte, NC,msa,NC,363330,375715,390450,443007,545516,568279
395055,24,San Antonio, TX,msa,TX,319772,328931,341474,375865,451358,467702
394998,25,Portland, OR,msa,OR,581581,593509,610037,675823,772145,759708
395045,26,Sacramento, CA,msa,CA,596184,620125,638124,718844,832800,788023
394982,27,Pittsburgh, PA,msa,PA,267446,276846,289457,316532,345131,349545
394466,28,Cincinnati, OH,msa,OH,289272,304426,316683,355497,398266,414972
394355,29,Austin, TX,msa,TX,494035,512274,547910,646850,823382,797725
394775,30,Las Vegas, NV,msa,NV,391135,424114,436818,474641,570434,557990
394735,31,Kansas City, MO,msa,MO,326205,340696,353959,390927,440383,458396
394492,32,Columbus, OH,msa,OH,318696,331159,348091,387549,436698,460736
394705,34,Indianapolis, IN,msa,IN,282016,295469,309716,350576,411232,421592
394475,35,Cleveland, OH,msa,OH,256403,265304,273429,304526,336409,353933
395059,36,San Jose, CA,msa,CA,1849944,1978868,1939263,2095773,2583113,2401167
394902,37,Nashville, TN,msa,TN,426098,446587,472616,529212,683917,704099
395194,38,Virginia Beach, VA,msa,VA,370308,377084,389727,427180,480968,499276
395005,39,Providence, RI,msa,RI,446290,463113,480317,545304,619797,645375
394714,40,Jacksonville, FL,msa,FL,345745,362525,375416,418092,537392,570757
394862,41,Milwaukee, WI,msa,WI,359984,375477,393117,428078,457022,475411
394935,42,Oklahoma City, OK,msa,OK,255316,262971,273141,294410,338223,355576
395012,43,Raleigh, NC,msa,NC,421613,436620,448115,490892,618405,638424
394849,44,Memphis, TN,msa,TN,255576,270211,287859,321211,374099,387412
395022,45,Richmond, VA,msa,VA,365704,378136,390766,430808,481890,468493
394807,46,Louisville, KY,msa,KY,285827,300617,311056,343140,380843,393761
394910,47,New Orleans, LA,msa,LA,325462,327734,342582,360637,400983,401879
395053,48,Salt Lake City, UT,msa,UT,494972,529539,560886,646669,779011,758677
394669,49,Hartford, CT,msa,CT,354138,355105,357993,396560,438345,467116
394425,50,Buffalo, NY,msa,NY,265491,278258,290008,321993,358129,370806
394388,51,Birmingham, AL,msa,AL,292580,306754,324086,355909,403808,421386
395031,52,Rochester, NY,msa,NY,243795,253378,265726,296833,326515,347046
394640,53,Grand Rapids, MI,msa,MI,312489,327414,340629,379794,433372,442437
395167,54,Tucson, AZ,msa,AZ,321814,339030,355631,405595,484890,505490
753924,55,Urban Honolulu, HI,msa,HI,1042793,1053550,1054925,1127815,1374494,1349119
395169,56,Tulsa, OK,msa,OK,242841,248275,259757,290885,335050,352520
394619,57,Fresno, CA,msa,CA,381283,401870,411515,457740,539054,537826
395238,58,Worcester, MA,msa,MA,418709,431495,445113,499976,556139,579000
394938,59,Omaha, NE,msa,NE,304338,316131,333322,368980,413630,430880
394415,60,Bridgeport, CT,msa,CT,855732,841496,821513,925171,1076339,1134843
394653,61,Greenville, SC,msa,SC,284288,296206,308562,342290,404026,435107
394312,62,Albuquerque, NM,msa,NM,298561,311973,332480,374205,431922,445860
394357,63,Bakersfield, CA,msa,CA,309149,321095,333089,375688,445134,449683
394308,64,Albany, NY,msa,NY,342624,352899,359460,389255,423464,440903
394753,65,Knoxville, TN,msa,TN,299091,313145,333485,377458,466124,492984
394367,66,Baton Rouge, LA,msa,LA,294723,296261,301483,313561,342469,347656
394843,67,McAllen, TX,msa,TX,173632,179249,187808,207912,243342,259498
394908,68,New Haven, CT,msa,CT,361413,365969,372203,419398,467714,492289
394561,69,El Paso, TX,msa,TX,195094,198909,205137,225118,263164,284223
394318,70,Allentown, PA,msa,PA,315929,323546,334149,375983,422424,441770
394952,71,Oxnard, CA,msa,CA,875033,891174,905763,1002684,1185304,1158107
394486,72,Columbia, SC,msa,SC,251876,260426,274134,303510,353135,375370
753906,73,North Port, FL,msa,FL,467165,483056,492319,547621,743378,800256
